,p,beta,lamb,acc_mean,acc_std,nmi_mean,nmi_std
87,4,5e-05,0.4,0.632,0.009733961166965895,0.004766931578562748,0.004766931578562748
88,4,5e-05,0.5,0.6285,0.013928388277184104,0.005068148699619674,0.005068148699619674
89,4,5e-05,0.6,0.6246250000000001,0.012177720435286718,0.0047451929902266815,0.0047451929902266815
90,4,6e-05,0.1,0.631125,0.012511869364727245,0.013587035151579148,0.013587035151579148
91,4,6e-05,0.2,0.6452499999999999,0.007022285952594085,0.010031238353465033,0.010031238353465033
92,4,6e-05,0.3,0.640375,0.003731202889149829,0.006991957968312814,0.006991957968312814
93,4,6e-05,0.4,0.6325000000000001,0.011039701082909798,0.005205727708565351,0.005205727708565351
94,4,6e-05,0.5,0.6287499999999999,0.010046765648705035,0.003721159924229756,0.003721159924229756
95,4,6e-05,0.6,0.6311249999999999,0.01130472799318939,0.00646372041663826,0.00646372041663826
96,4,8e-05,0.1,0.634375,0.012090156119752964,0.013537390633244384,0.013537390633244384
97,4,8e-05,0.2,0.6453749999999999,0.003895109112720721,0.005074435882544347,0.005074435882544347
98,4,8e-05,0.3,0.645125,0.002161452058223817,0.005232641304967243,0.005232641304967243
99,4,8e-05,0.4,0.63725,0.009549214627392128,0.00561943672255094,0.00561943672255094
100,4,8e-05,0.5,0.62725,0.011177544453054062,0.00556258610128702,0.00556258610128702
101,4,8e-05,0.6,0.627625,0.008195844983892742,0.0045816433775726865,0.0045816433775726865
102,4,0.0001,0.1,0.6331249999999999,0.013849074878850218,0.008458396980761763,0.008458396980761763
103,4,0.0001,0.2,0.65175,0.0043373378932243705,0.003683087881551968,0.003683087881551968
104,4,0.0001,0.3,0.651,0.0032977264895682292,0.0034834780017606332,0.0034834780017606332
105,4,0.0001,0.4,0.6447499999999999,0.006368869601428501,0.003562213986067935,0.003562213986067935
106,4,0.0001,0.5,0.638625,0.006776568084214908,0.004163770732269891,0.004163770732269891
