,lamda,beta,p,acc_inG,nmi_inG,acc_inL,nmi_inL,acc_coI,nmi_coI,acc_sy_C,nmi_sy_C,acc_hyT,nmi_hyT
21,0.5,0.1,3,0.587878788,0.640547796,0.618181818,0.656105352,0.587878788,0.64146063,0.587878788,0.677375162,0.612121212,0.656320514
55,1,100,6,0.587878788,0.643938998,0.612121212,0.650467705,0.587878788,0.654431806,0.6,0.63793452,0.56969697,0.628627818
47,1,50,3,0.575757576,0.641945453,0.606060606,0.67126513,0.587878788,0.658117884,0.642424242,0.682423187,0.612121212,0.663375696
39,0.5,10,9,0.575757576,0.660218594,0.581818182,0.659618935,0.587878788,0.655576649,0.593939394,0.665249053,0.587878788,0.644695419
80,5,5,9,0.563636364,0.641832386,0.606060606,0.647207559,0.587878788,0.651170525,0.612121212,0.667248503,0.581818182,0.659320552
58,1,1,9,0.624242424,0.661683823,0.593939394,0.66049463,0.581818182,0.658573485,0.56969697,0.631642638,0.606060606,0.6495831
83,5,100,9,0.618181818,0.672332779,0.557575758,0.620717405,0.581818182,0.641613273,0.612121212,0.676017947,0.6,0.637424656
34,0.5,100,6,0.612121212,0.651255516,0.587878788,0.664901684,0.581818182,0.649795976,0.624242424,0.656677522,0.545454545,0.635795368
20,0.1,100,9,0.606060606,0.66023897,0.606060606,0.663145368,0.581818182,0.667288016,0.56969697,0.635123702,0.527272727,0.617691289
15,0.1,0.5,9,0.6,0.649657253,0.612121212,0.669850895,0.581818182,0.659464325,0.539393939,0.648641847,0.587878788,0.651536558
18,0.1,10,9,0.6,0.6566737,0.606060606,0.678501535,0.581818182,0.646776062,0.618181818,0.667632473,0.587878788,0.67522738
82,5,50,9,0.587878788,0.646827468,0.612121212,0.648609411,0.581818182,0.661490229,0.612121212,0.672520807,0.6,0.632025766
90,10,100,3,0.56969697,0.646857842,0.587878788,0.672638837,0.581818182,0.649167405,0.56969697,0.641271682,0.509090909,0.582504525
97,10,100,6,0.612121212,0.662396216,0.581818182,0.636872861,0.575757576,0.626287165,0.581818182,0.642082358,0.587878788,0.637798236
53,1,10,6,0.593939394,0.667814613,0.624242424,0.657177411,0.575757576,0.646133272,0.563636364,0.642683436,0.593939394,0.666065067
64,5,0.5,3,0.593939394,0.656162394,0.6,0.659719323,0.575757576,0.643672357,0.56969697,0.640562278,0.56969697,0.647187232
45,1,5,3,0.56969697,0.659464961,0.636363636,0.681523469,0.575757576,0.660703325,0.618181818,0.672243955,0.56969697,0.649137273
103,10,50,9,0.563636364,0.650090802,0.612121212,0.657989469,0.575757576,0.646762332,0.624242424,0.687313092,0.515151515,0.617462719
46,1,10,3,0.636363636,0.681719733,0.557575758,0.639954327,0.56969697,0.671683921,0.618181818,0.666684051,0.642424242,0.67399917
99,10,0.5,9,0.606060606,0.645076373,0.56969697,0.632892622,0.56969697,0.641078398,0.636363636,0.662845107,0.551515152,0.642701296
60,1,10,9,0.593939394,0.652147598,0.63030303,0.6655008,0.56969697,0.643940041,0.636363636,0.682147601,0.612121212,0.647288191
86,10,1,3,0.593939394,0.649182363,0.563636364,0.639495246,0.56969697,0.649146151,0.563636364,0.629224717,0.581818182,0.660163247
63,5,0.1,3,0.587878788,0.644654973,0.581818182,0.654650111,0.56969697,0.645838501,0.557575758,0.623081347,0.581818182,0.652874006
92,10,0.5,6,0.56969697,0.617290849,0.575757576,0.648137501,0.56969697,0.672776742,0.63030303,0.67606093,0.56969697,0.63032642
70,5,0.1,6,0.63030303,0.687346469,0.606060606,0.667547243,0.563636364,0.674012839,0.606060606,0.666510217,0.581818182,0.65551759
54,1,50,6,0.618181818,0.662681378,0.618181818,0.665436317,0.563636364,0.649403865,0.6,0.647724318,0.6,0.662393407
5,0.1,50,3,0.618181818,0.675307365,0.575757576,0.650114196,0.563636364,0.637402294,0.63030303,0.685417186,0.581818182,0.633442682
76,5,100,6,0.6,0.673466087,0.581818182,0.637128796,0.563636364,0.665212189,0.6,0.640616924,0.593939394,0.629694414
87,10,5,3,0.587878788,0.635971213,0.587878788,0.648627361,0.563636364,0.640584965,0.593939394,0.655945468,0.587878788,0.64166197
102,10,10,9,0.612121212,0.658630173,0.557575758,0.615458643,0.557575758,0.654048404,0.6,0.656203981,0.624242424,0.642665446
89,10,50,3,0.581818182,0.643330726,0.587878788,0.652665896,0.557575758,0.633190045,0.587878788,0.648211424,0.56969697,0.628969965
0,0.1,0.1,3,0.575757576,0.654069687,0.56969697,0.654774624,0.557575758,0.648985979,0.624242424,0.656798492,0.612121212,0.656462529
85,10,0.5,3,0.563636364,0.658973842,0.624242424,0.66360201,0.545454545,0.613216979,0.575757576,0.648177638,0.557575758,0.604895598
120,50,0.5,9,0.436363636,0.521565247,0.515151515,0.5817995,0.539393939,0.568330541,0.490909091,0.560604368,0.436363636,0.539007439
7,0.1,0.1,6,0.636363636,0.690042178,0.642424242,0.687748742,0.527272727,0.631540326,0.6,0.657901328,0.593939394,0.653295905
115,50,5,6,0.472727273,0.523002201,0.490909091,0.538769281,0.503030303,0.549310627,0.521212121,0.556150379,0.448484848,0.540082449
113,50,0.5,6,0.478787879,0.542954131,0.448484848,0.518909841,0.496969697,0.532687937,0.466666667,0.516507533,0.509090909,0.569398722
105,50,0.1,3,0.521212121,0.564568959,0.466666667,0.542074702,0.490909091,0.539346647,0.478787879,0.515080317,0.466666667,0.531650015
116,50,10,6,0.539393939,0.594293002,0.521212121,0.538787924,0.478787879,0.526600123,0.442424242,0.528716983,0.460606061,0.514086817
123,50,10,9,0.43030303,0.515400145,0.460606061,0.524419651,0.478787879,0.527538049,0.466666667,0.539575501,0.472727273,0.548509203
125,50,100,9,0.412121212,0.519019439,0.503030303,0.5232077,0.478787879,0.555633462,0.454545455,0.522153958,0.406060606,0.500396634
118,50,100,6,0.460606061,0.518487953,0.4,0.447593308,0.472727273,0.55128918,0.460606061,0.517619491,0.436363636,0.505627185
110,50,50,3,0.496969697,0.531512577,0.454545455,0.527883359,0.466666667,0.559934967,0.363636364,0.477314297,0.442424242,0.486223642
106,50,0.5,3,0.484848485,0.54123693,0.496969697,0.550024622,0.460606061,0.521654731,0.466666667,0.535055535,0.490909091,0.557505638
119,50,0.1,9,0.472727273,0.534851844,0.466666667,0.51102869,0.460606061,0.521662659,0.490909091,0.525258489,0.490909091,0.52248277
109,50,10,3,0.466666667,0.507961464,0.509090909,0.570023939,0.460606061,0.524985527,0.509090909,0.563525761,0.436363636,0.518106891
121,50,1,9,0.515151515,0.598954493,0.460606061,0.532636671,0.454545455,0.503654804,0.454545455,0.515135308,0.509090909,0.551222642
